record_id;redcap_survey_identifier;cuestionario_final_pilotaje_plataforma_timestamp;satisfaccion;dispositivo;porque_elegido;utilizado_antes;ejemplo;plan;porque;beneficio;aspecto_concreto;recomendar;familiar;mi_progreso;valorar_figura;figura_progresion;figura_sugerencias;fichas_1;fichas_1_progresion;fichas_1_sugerencias;valoracion_fichas_2;progresion_fichas_2;fichas_2_sugerencias;valoracion_dibujo;progresion_dibujo;sugerencias_dibujo;valoracion_parejas;progresion_parejas;parejas_sugerencias;valoracion_simon;progresion_simon;sugerencias_simon;valoracion_cartas;progresion_cartas;sugerencias_cartas;valoracion_escenas;progresion_escenas;escenas_misma;escenas_sugerencias;valoracion_sopa;progresion_sopa;sugerencias_sopa;valoracion_anagramas;progresion_anagramas;sugerencias_anagramas;valoracion_logogramas;progresion_logogramas;sugerencias_logogramas;valoracion_refran;progresion_refran;refran_sugerencias;valoracion_secuencia_cartas;progresion_secuencia_cartas;secuencia_cartas_sugerencias;valoracion_secuencia;progresion_secuencia;secuencia_sugerencias;valoracion_calculo;progresion_calculo;secuencia_calculo;sugerencias_global;segunda_fase;cuestionario_final_pilotaje_plataforma_complete
13;CPDC3895;"2022-07-12 17:06:41";3;2;"Por la pantalla";1;;3;"Porque creo que me he sentido mas ágil mentalmente";0;"He estado mas atenta, menos dispersa.";0;0;3;4;3;;4;3;;3;3;;3;3;;2;2;;2;3;;2;2;;3;2;0;;3;2;;2;2;;3;3;;3;3;;3;3;;2;2;;3;2;;"Creo que en general está muy bien, pero por ejemplo, cuesta mucho ajustar exactamente donde faltan los objetos y personas en las escenas.";0;2
14;CPDC2737;"2022-07-12 20:00:45";3;2;"Me resulta más cómodo";1;;3;"Me concentro y me fijo en los detalles mas que antes";0;"Sobre todo en los detalles, los objetos...gracias a los ejercicios de observar las escenas";0;0;4;4;4;;4;4;;3;4;"Creo que estaría mejor si entraran todas las fichas en la imagen y no hubiera que bajar hasta el final de la página";4;4;;1;4;"No he entendido porque me contaban como errores el levantar por primera vez las fichas";4;4;"En los últimos que repetía la serie, me costó entenderlo y lo fallé varias veces.";4;4;;3;4;0;"en esta misma escena salía en la parte inferior izquierda el cuadrado para salir, en alguna ocasión desaparecía el mueble que tiene una planta encima y al pulsar para colocarlo no se podía.";4;4;;4;4;;4;4;"En alguna ocasión no ha aceptado alguna palabra que no estaba repetida y que era correcta.";4;4;;2;2;;4;4;;4;4;;"Algunas veces después de terminar el ejercicio no sale el resultado y hay que dar a salir, con lo que aparece como no terminado.";0;2
15;CPDC8334;"2022-07-12 20:08:13";4;0;"porque así podía utilizarlo en el metro, o cuando estaba esperando en una consulta.";1;"Una  plataforma completa no  aunque si he estado realizando de forrma habitual algunos juegos de palabras, o de recordar cartas en el móvil.";4;"Porque he realizado los ejercicios de forma continua , ahora puede que haga ejercicio o quizás me dedique a ver videos de otro tipo... ";0;"Creo que tengo más atención y más capacidad de observación. También me he dado cuenta cómo influye el cansancio para cometer mas errores o resolver ejercicios (anagramas)";0;0;4;4;3;" - utilizar mas símbolos diferentes y cambiarlos con frecuencia (ejemplo: palabras, ,...) aunque habría que tener en cuenta que no pareciesen infantiles  - podría ser atractivo utilizar fotos de caras para favorecer el recuerdo de nombres  - utilizar palabras  -";3;4;" -requiere mucho esfuerzo mental realizarlo, y puedes dedicar más tiempo en encontrar cuando te queda solo uno.  - ";3;4;"también requiere mucho esfuerzo aunque creo que son interesantes";4;4;"hacerlo en el móvil se producen muchos errores por proximidad al acierto dás al error";4;4;"cambiar los elementos con mas frecuencia y poner muchos más elementos";4;4;"Explicar las instrucciones en el nivel 5 y 6  Mejoré mucho en este ejercicio";4;4;"Las personas no aficionadas a las cartas tienen dificultades  Incluir otros elementos";4;4;0;"Me ha resultado difícil  A veces es difícil colocar los objetos  ";4;4;"En el móvil no se ve completa y por eso, en los niveles altos me resulta muy difícil hacerlas, creo que sería mejor no ponerlas tan difíciles por buscar tantos elementos";3;3;"  Me parece un ejercicios muy interesante  pero a partir del nivel 4 ha habido muchas palabras que no he podido resolver y me ha frustrado....";4;4;"Se han  repetido muchas veces la misma palabra..";4;4;"En los niveles altos con refranes no conocidos ha sido difícil resolverlos  Quizás cuando el sistema ve fallos se podría dar alguna ayuda";4;4;"Me ha gustado mucho.....  Buscar hacer secuencias con otros elementos,   como figuras gráficas y colores";4;4;"requiere mucho esfuerzo atencional";4;4;"Me parece que está muy bien";"Más ejercicios  Resolver que los errores informen bien  Tener mas elementos en cada ejercicio  ";0;2
16;CPDC6928;"2022-07-12 20:41:36";3;2;"Me da mas seguridad y rapidez al realizar los ejercicios.";1;;4;"Porque te obliga a hacerlo";0;"Atención, lenguaje";0;0;0;4;4;"A veces, si se va deprisa hay que clikar la ficha  más de una vez para que se marque. ";4;4;;4;4;"Que los números y las letras sean un poco más grandes";4;4;;0;2;"No me ha gustado";3;2;;4;3;;3;2;0;;4;4;;3;2;;4;4;;4;4;;4;4;;;4;;4;4;;;0;2
17;CPDC2986;"2022-07-13 19:44:22";4;2;"Más agil y mayor tamaño de pantalla.";1;;4;"Me mantiene activo";0;"En la mejora de mi memoria, en estimular mi atención y sobre todo en la concentración que pongo en la realización de cada ejercicio.  ";0;0;4;4;3;"El grado de progresión de los niveles creo que hasido bastante suave.   Se podrían introducir distintas figuras, siempre son las mismas.";4;3;"El grado de progresión de los niveles creo que hasido bastante suave también.   ";4;4;;4;4;;4;4;;4;4;"En los tres primeros niveles no note mucha diferencia en el grado de dificultad.  Creo que fue en el último nivel que, cuando terminaba la secuencia la volvía a repetir y eso provoco que cometiera algunos fallos.";4;4;"Sin comentarios.";4;4;1;"Creo que este ha sido el ejercicio con mayor grado de dificultad.   Quiza habria que aumentar los tiempos de observación para poder ver mejor pequeños detalles que aparecen en las imágenes. ";4;4;"En una sopa de letras en una revista o periódico marcas la palabra a partir de cualquier letra, en el ordenador tiene que ser siempre por la primera letra de la palabra.  Por ejemplo MES, tienes que marcar primero la M, no puedes marcar primero la E o la S, si lo haces te da fallo.";4;4;"Sin comentarios.";4;4;"Sin comentarios.";3;4;"No soy el mejor experto en refranes.";4;4;"Quizas sea el ejercicio que resulte más difícil de interpretar a partir de que carta y como debe de realizarse la secuencia.";4;4;"Sin comentarios.";4;4;"Sin comentarios.";"Aumentar el grado de dificultad si es posible.  Introducir nuevos tipos de ejercicios (por ej. Sudokus), ya que realizar siempre los mismos puede resultar monotono.";0;2
18;CPDC5278;"2022-07-14 10:46:49";3;0;"comodidad y agilidad";1;;4;"puedes utilizarla en cualquier momento del dia desde el movil facilita mucho su uso";0;"he notado mejoría sobre todo en los ejercicios de visualización";0;0;4;4;2;"este ejercico me ha parecido muy fácil. Tal vez para aumentar un poco la dificultad se podrían aumentar a 2 figuras diferentes en los niveles superiores";4;4;;4;4;;4;4;;3;4;"Me parecería un poco mejor si una vez mostradas las parejas, apareciesen todas las figuras a la vez durante unos segundos y a continuación taparlas en vez de irlas descubriendo poco a poco.";2;4;"Este ejercico se me da fatal. Además hay una diferencia en el funcionamiento, a partir de un nivel, creo que el tercero, la secuencia se repite 2 veces en vez de una. Da lugar a confusión.";4;4;;2;4;0;"este ejercicio me ha gustado mucho. He tenido algún problema para su manejo con el móvil porque al girar la pantalla a veces no ha funcionado bien y el ejercicio se ha interrumpido sin poder terminarlo. ";4;4;;4;4;;3;3;"Creo que en ejercicio se piden demasiadas palabras en los niveles superiores. Yo he utilizado muchos tiempos y formas verbales de la misma palabra.";4;4;"este ejercicio me ha gustado mucho. El único problema con los refranes es que como son frases populares hay ligeras variaciones en el orden de las palabras y a veces no se acierta a la primera";4;4;;4;4;;3;4;;"La verdad es que me ha gustado mucho, aunque me ha parecido bastante intensa, me han parecido mucha cantidad de ejercicios para realizar cada día. ";1;2
19;CPDC4950;"2022-07-14 19:39:01";3;2;"Es más facil realizar los ejercicios en el ordenador. En la tableta también se podían realizar la mayoría, en cambio en el móvil me era imposible en algunos de los ejercicios.";1;;3;"He empezado a prestar atención y a preocuparme por hacer más ejercicios";0;"Al terminar el programa he seguido haciendo los ejercicios y considero que he mejorado o por lo menos tengo más interés y más ganas de seguir ejercitandome";0;1;3;4;2;;3;2;;2;2;;3;2;;2;3;;3;2;;2;2;;1;3;0;"En determinadas ocasiones daba error al colocar el puntero del ratón en una zona, dándolo por bueno a escasos milímetros, lo que me generaba mas estres del habitual, dado que es un ejercicio que no se me da bien";3;2;;3;2;;3;2;"Se repiten mucho las palabras";3;2;;2;2;;2;2;;2;2;;;0;2
20;CPDC3251;"2022-07-15 10:03:58";4;2;"es más fácil su manejo y más grande la pantalla";1;;3;"te mantiene despierta y actualizada con las aplicaciones";1;"Únicamente el aprender el manejo de la aplicación";0;1;4;4;3;"Es muy lento y se queda ""enganchado"" cada vez que se pulsa la ficha. Mejorar este aspecto";4;3;"Por decir algo propondría ampliar a la pantalla completa, de modo que no haya que estar subiendo y bajando para ver todas las fichas";4;3;"Igual que en el anterior apartado";4;3;"Sin comentarios";3;4;"Me ha resultado más complicado que los anteriores, al aumentar las parejas pero por lo demás,bien.";4;4;Ninguno;4;4;"Aumentando  el número de cartas y disminuyendo el tiempo me parece correcto";4;4;0;"En múltiples ocasiones no se pueden incluir los objetos y/o personajes, dificultando la finalización del ejercicio.";4;4;Perfecto;3;3;"En los niveles superiores, es muy complicado, o al menos para mí, lo ha sido.";4;4;"Bien todo";4;3;"Muchos de los refranes presentados, sobre todos los de los niveles más altos, son desconocidos para mí y/o la intuición para la finalización de los mismos no se correspondía con lo que daba por correcto.";4;4;"Nunca había hecho este tipo de secuencias y me han parecido muy interesantes. Perfecto.";4;4;Perfecto;4;4;"En algunas ocasiones aparecen unos símbolos que no sé lo que significan, ""Infinito"", ""Net"" o algo así. Habría que arreglarlo";"Ya he ido sugiriendo en cada uno de los apartados.";0;2
21;CPDC6359;"2022-07-15 10:23:29";3;2;"Por comodidad";0;"La del Centro de Deterioro Cognitivo";4;"Por el estimulo de la memoria y concentración";0;"En la memorización";0;0;0;4;4;"De acuerdo con el ejercicio";4;4;Ninguna;4;3;Ninguna;4;4;Ninguna;2;2;Ninguna;2;3;"Explicar con claridad que en los ejercicios de nivel 6, se repite la secuencia 2 veces";2;2;Ninguna;2;2;1;"indicar con claridad como colocar los objetos y los personajes";3;3;Ninguna;3;3;"Ampliar el tiempo en los de mayor nivel";3;3;"Ampliar el tiempo en el nivel 6";4;4;Ninguno;3;3;"Explicar al principio con un ejemplo como realizar el ejercicio";4;4;Ninguna;4;4;Ninguna;"Explicar con mayor claridad y con ejemplos como realizar los ejercicios";0;2
22;CPDC4678;"2022-07-15 10:32:48";3;2;;1;;4;;0;memoria;0;0;1;3;2;;4;2;;3;3;;4;3;;4;3;;0;2;"céntrame ";2;2;centrame;3;3;0;;3;2;;3;2;;2;2;;4;2;;1;1;;4;2;;3;2;;"estarcentrada y olvidarme de otras cosas ";0;2
